Station_ID, Name, Latitude, Longitude, Elevation (m), Date_Time (UTC),Peak_Wind Direction (Degrees), Peak_Wind Speed (), Precipitation accumulated (mm), Relative Humidity (%), Solar Radiation (W/m2), Temperature (c), Water Temperature (c), Wind Direction 10m (deg), Wind Gust 10m (m/s), Wind Speed 10m (m/s), 
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T12:05:00Z,null,null,31.75,70,1,0.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T13:05:00Z,null,null,31.75,61,82,3.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T14:05:00Z,null,null,31.75,52,293,7.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T15:05:00Z,null,null,31.75,40,512,12.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T16:05:00Z,null,null,31.75,33,712,15.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T17:05:00Z,null,null,31.75,27,872,18.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T18:05:00Z,null,null,31.75,26,974,18.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T19:05:00Z,null,null,31.75,22,1014,20,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T20:05:00Z,null,null,31.75,20,997,21.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T21:05:00Z,null,null,31.75,17,917,22.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T22:05:00Z,null,null,31.75,17,778,22.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-04-30T23:05:00Z,null,null,31.75,15,597,22.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T00:05:00Z,null,null,31.75,16,385,21.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T01:05:00Z,null,null,31.75,19,173,19.444,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T02:05:00Z,null,null,31.75,24,17,16.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T03:05:00Z,null,null,31.75,31,0,12.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T04:05:00Z,null,null,31.75,33,0,10.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T05:05:00Z,null,null,31.75,42,0,8.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T06:05:00Z,null,null,31.75,47,0,6.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T07:05:00Z,null,null,31.75,47,0,6.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T08:05:00Z,null,null,31.75,56,0,5,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T09:05:00Z,null,null,31.75,51,0,7.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T10:05:00Z,null,null,31.75,64,0,4.444,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T11:05:00Z,null,null,31.75,65,0,4.444,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T12:05:00Z,null,null,31.75,62,1,5.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T13:05:00Z,null,null,31.75,66,83,6.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T14:05:00Z,null,null,31.75,42,294,11.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T15:05:00Z,null,null,31.75,35,514,15.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T16:05:00Z,null,null,31.75,31,714,17.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T17:05:00Z,null,null,31.75,26,872,19.444,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T18:05:00Z,null,null,31.75,22,976,21.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T19:05:00Z,null,null,31.75,17,1017,23.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T20:05:00Z,null,null,31.75,15,994,25.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T21:05:00Z,null,null,31.75,13,926,26.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T22:05:00Z,null,null,31.75,12,778,27.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-01T23:05:00Z,null,null,31.75,12,595,27.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T00:05:00Z,null,null,31.75,14,341,25.556,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T01:05:00Z,null,null,31.75,16,180,23.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T02:05:00Z,null,null,31.75,25,20,21.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T03:05:00Z,null,null,31.75,31,0,18.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T04:05:00Z,null,null,31.75,35,0,17.778,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T05:05:00Z,null,null,31.75,39,0,16.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T06:05:00Z,null,null,31.75,41,0,16.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T07:05:00Z,null,null,31.75,45,0,15,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T08:05:00Z,null,null,31.75,45,0,15,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T09:05:00Z,null,null,31.75,52,0,12.778,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T10:05:00Z,null,null,31.75,57,0,11.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T11:05:00Z,null,null,31.75,64,0,8.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T12:05:00Z,null,null,31.75,73,0,6.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T13:05:00Z,null,null,31.75,70,43,8.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T14:05:00Z,null,null,31.75,37,289,17.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T15:05:00Z,null,null,31.75,20,521,21.667,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T16:05:00Z,null,null,31.75,16,720,23.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T17:05:00Z,null,null,31.75,14,878,25,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T18:05:00Z,null,null,31.75,12,914,26.111,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T19:05:00Z,null,null,31.75,8,951,27.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T20:05:00Z,null,null,31.75,6,986,28.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T21:05:00Z,null,null,31.75,7,936,28.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T22:05:00Z,null,null,31.75,5,800,28.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-02T23:05:00Z,null,null,31.75,5,613,27.778,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T00:05:00Z,null,null,31.75,6,391,27.222,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T01:05:00Z,null,null,31.75,6,179,25,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T02:05:00Z,null,null,31.75,26,21,18.889,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T03:05:00Z,null,null,31.75,37,0,15,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T04:05:00Z,null,null,31.75,44,0,13.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T05:05:00Z,null,null,31.75,58,0,8.333,null,null,null,null,
MLCN5,MILLS CANYON,36.055,-104.324444,1780,2021-05-03T06:05:00Z,null,null,31.75,56,0,10.556,null,null,null,null,
