station,utc_valid,PCIRGZ,PPHRGZ,RWIRGZ,TAIRGN,TAIRGX,TAIRGZ,UDIRGZ,UPHRGZ,URHRGZ,USIRGZ,XRIRGZ
MLCN5,2021-04-30 00:05:00,1.25,0,383,,,67,38,25,38,14,21
MLCN5,2021-04-30 01:05:00,1.25,0,171,,,64,38,21,38,13,23
MLCN5,2021-04-30 02:05:00,1.25,0,16,,,53,37,15,38,7,38
MLCN5,2021-04-30 03:05:00,1.25,0,0,,,51,37,10,37,6,42
MLCN5,2021-04-30 04:05:00,1.25,0,0,,,48,37,10,37,7,45
MLCN5,2021-04-30 05:05:00,1.25,0,0,,,47,37,10,37,7,46
MLCN5,2021-04-30 06:05:00,1.25,0,0,,,45,37,8,36,2,48
MLCN5,2021-04-30 07:05:00,1.25,0,0,,,45,37,9,37,7,49
MLCN5,2021-04-30 08:05:00,1.25,0,0,,,39,37,9,36,6,61
MLCN5,2021-04-30 09:05:00,1.25,0,0,,,37,37,10,37,9,65
MLCN5,2021-04-30 10:05:00,1.25,0,0,,,37,37,12,37,10,64
MLCN5,2021-04-30 11:05:00,1.25,0,0,,,35,37,13,37,10,67
MLCN5,2021-04-30 12:00:00,,,,33,68,,,,,,
MLCN5,2021-04-30 12:05:00,1.25,0,1,,,33,37,12,37,9,70
MLCN5,2021-04-30 13:05:00,1.25,0,82,,,39,37,12,37,6,61
MLCN5,2021-04-30 14:05:00,1.25,0,293,,,45,37,9,37,5,52
MLCN5,2021-04-30 15:05:00,1.25,0,512,,,54,37,8,38,4,40
MLCN5,2021-04-30 16:05:00,1.25,0,712,,,60,38,8,38,5,33
MLCN5,2021-04-30 17:05:00,1.25,0,872,,,65,38,10,38,3,27
MLCN5,2021-04-30 18:05:00,1.25,0,974,,,66,38,12,38,5,26
MLCN5,2021-04-30 19:05:00,1.25,0,1014,,,68,38,14,38,7,22
MLCN5,2021-04-30 20:05:00,1.25,0,997,,,71,38,16,38,4,20
MLCN5,2021-04-30 21:05:00,1.25,0,917,,,72,38,19,38,8,17
MLCN5,2021-04-30 22:05:00,1.25,0,778,,,72,38,16,38,8,17
MLCN5,2021-04-30 23:05:00,1.25,0,597,,,72,38,18,38,10,15
MLCN5,2021-05-01 00:05:00,1.25,0,385,,,70,38,19,38,11,16
MLCN5,2021-05-01 01:05:00,1.25,0,173,,,67,38,18,37,11,19
MLCN5,2021-05-01 02:05:00,1.25,0,17,,,61,37,15,38,6,24
MLCN5,2021-05-01 03:05:00,1.25,0,0,,,54,37,10,37,4,31
MLCN5,2021-05-01 04:05:00,1.25,0,0,,,51,37,6,37,5,33
MLCN5,2021-05-01 05:05:00,1.25,0,0,,,47,37,5,37,2,42
MLCN5,2021-05-01 06:05:00,1.25,0,0,,,44,37,3,37,0,47
MLCN5,2021-05-01 07:05:00,1.25,0,0,,,44,37,2,37,0,47
MLCN5,2021-05-01 08:05:00,1.25,0,0,,,41,37,5,37,3,56
MLCN5,2021-05-01 09:05:00,1.25,0,0,,,45,37,9,37,6,51
MLCN5,2021-05-01 10:05:00,1.25,0,0,,,40,37,8,37,2,64
