scientific_name,common_name,granivore,body_mass,num_ind,tewl25_mghr-1,tewl40-mghr-1,log_slope_ewl,activity_phase,reference
Melozone aberti,Abert's towhee,N,41.8,33,410,821.4,4.8,A,Smith et al. 2017
Cuculus gularis,African Cuckoo,N,109.6,6,481,700.6,5.5,A,Smit et al. 2017
Struthio camelus,African ostrich,N,95400,6,49608,NA,NA,R,Withers 1983
Cinclus mexicanus,American Dipper,N,50.2,11,144.1,768.1,3.9,R,Murrish 1970
Carduelis tristis,American Goldfinch,Y,114,6,83.3,NA,NA,A,Ro and Williams 2010
Turdus migratorius,American robin,N,73.7,5,295.8,NA,NA,A,Ro and Williams 2010
Calypte anna,Anna’s Hummingbird,N,4.8,3,47.9,NA,NA,R,Lasiewski 1964
Aegotheles cristatus,Australian Owlet-nightjar,N,44.2,23,200,790,4.9,A,Talbot et al. 2017
Barnardius zonarius,Australian Ringneck,N,137,1,148.4,NA,NA,R,Dawson 1965
Coragyps atratus,Black Vulture,N,2100,6,2367.4,2938.1,NA,R,Larochelle et al. 1982
Pterocles orientalis,black-bellied sandgrouse,Y,386.4,5,521.6,1594.9,4.8,R,Hinsley et al. 1993
Parus atricapillus,Black-capped chickadee,N,10.8,NA,109.6,NA,NA,R,Shilov 1968
Archilochus alexandri,Black-chinned Hummingbird,N,3.3,3,44.6,NA,NA,R,Lasiewski 1964
Eremopterix nigriceps,black-crowned sparrow-lark,N,15.2,6,55.8,NA,NA,R,Tieleman et al. 2003
Estrilda troglodytes,black-rumped waxbill,Y,6.1,22,45.8,107.5,NA,A,Lasiewski et al. 1964
Amphispiza bilineata,Black-throated Sparrow,N,13.5,NA,108,NA,NA,R,Bartholomew 1972
Volatinia jacarina,blue-black grassquit,Y,9.1,NA,67.9,NA,NA,R,Weathers 1986
Neopsephotus bourkii,Bourke's parrot,Y,35.3,2,113.3,NA,NA,R,Dawson 1965
Spizella breweri,Brewer's sparrow,N,12.2,7,56.4,NA,NA,R,Dawson et al. 1979
Baeolophus wollweberi,Bridled Titmouse,N,10,11,65,243.8,3.7,R,Weathers and Greene 1998
Anous stolidus,Brown Noddy,N,141.8,15,717.5,1982.4,5.3,A,Ellis et al. 1995
Corvus ruficollis,Brown-necked Raven,N,610,8,1860.5,5820,NA,R,Marder 1973
Melopsittacus undulatus,budgerigar,Y,33.7,6,146.3,371.5,4.9,R,Weathers and Schoenbaechler 1976
Athene cunicularia,Burrowing Owl,N,132.4,29,233,1451.7,5.2,A,Coulombe 1970
Campylorhynchus brunneicapillus,Cactus Wren,N,34.5,22,240,561.4,4.7,A,Smith et al. 2017
Callipepla californica,California Quail,Y,149.6,18,281.2,1155.6,4.8,R,Brush 1965
Aphelocoma californica,California Scrub Jay,N,78.7,11,322.8,NA,NA,A,Mann 1983
Emberiza capensis,Cape bunting,N,20,7,120,486.2,3.9,A,Milne et al. 2015
Serinus canicollis,Cape canary,Y,15,3,138,384.1,NA,A,Milne et al. 2015
Sphenoeacus afer,Cape grass-warbler,N,30,5,165,473.8,4,A,Milne et al. 2015
Chaetops frenatus,Cape Rockjumper,N,53.6,5,139.4,811.5,4.4,A,Milne et al. 2015
Serinus totta,Cape siskin,N,12.7,3,88.9,350.2,3.7,A,Milne et al. 2015
Promerops cafer,Cape sugarbird,N,35.6,6,192.2,522,4,A,Milne et al. 2015
Haemorhous cassinii,Cassin’s Finch,N,28.1,7,212.6,614.1,4.7,R,Weathers et al. 1980
Fringilla coelebs,chaffinch,Y,19.7,NA,78.3,NA,NA,R,Shilov 1968
Pomatostomus ruficeps,chestnut-crowned babbler,N,52,17,300,762.9,4.9,A,McKechnie et al. 2017
Gallus gallus,chicken,N,1771,9,2283.3,NA,NA,R,Medway and Kare 1957
Garrulax canorus,Chinese hwamei,N,57.6,10,282.8,471.3,NA,R,Xia et al. 2015
Spizella passerina,chipping sparrow,N,11.8,15,32.6,NA,NA,R,Dawson et al. 1979
Alectoris chukar,Chukar,Y,412,28,598.9,1267.7,4.6,R,Frumkin et al. 1986
Nymphicus hollandicus,cockatiel,Y,80.7,1,141.2,NA,NA,R,Dawson 1965
Trichoglossus haematodus,coconut lorikeet,N,137.1,7,0.5,NA,NA,R,Williams et al. 1991
Chordeiles minor,Common Nighthawk,N,70,6,175,698.7,4.7,R,Lasiewski and Dawson 1964
Sturnus vulgaris,Common starling,N,83,25,426.6,1556,5.3,A,Dmi'el and Tel-Tzur 1985
Saxicola torquatus,common stonechat,N,NA,18,54.6,NA,NA,R,Versteegh et al. 2008
Calypte costae,Costa’s Hummingbird,N,3.2,3,38.8,66.9,1.7,R,Lasiewski 1964
Ocyphaps lophotes,crested pigeon,Y,186.5,39,4630,1538.6,5.4,A,McKechnie et al. 2016
Ammomanes deserti,Desert Lark,N,19.8,NA,101.3,983.7,NA,R,Williams 1996
Geopelia cuneata,diamond dove,Y,38,14,126.2,322.4,4,R,Schleucher 1999
Certhilauda erythrochlamys,Dune Lark,N,27.3,12,92.1,453.8,4.6,R,Williams 1999
Eremalauda dunni,Dunn's lark,N,20.6,16,152.1,151.8,4.2,R,Tieleman et al. 2002
Sayornis phoebe,Eastern phoebe,N,16.6,5,125,NA,NA,A,Ro and Williams 2010
Contopus virens,Eastern Wood Pewee,N,11.6,1,79.2,NA,NA,A,Ro and Williams 2010
Dromaius novaehollandiae,Emu,N,43100,10,15800,73150,NA,R,Maloney and Dawson 1994
