"contrast","estimate","SE","df","t.ratio","p.value","sig.","estimate_e","SE_e","t.ratio_e","p.value_e","sig._e","estimate_m","SE_m","t.ratio_m","p.value_m","sig._m","estimate_l","SE_l","t.ratio_l","p.value_l","sig._l"
"SSWMA:Extremely Humid - LWMA:Extremely Humid",0.383,0.082,1350,4.692,"<0.001","***",0.453,0.083,5.487,"<0.001","***",0.203,0.139,1.454,"0.146"," ",-0.403,0.227,-1.778,"0.076","."
"CBMA:Extremely Humid - LWMA:Extremely Humid",0.375,0.106,1350,3.528,"<0.001","***",0.351,0.109,3.231,"0.001","**",0.439,0.223,1.971,"0.049","*",-0.34,0.512,-0.665,"0.506"," "
"KIOWA:Extremely Humid - LWMA:Extremely Humid",0.535,0.088,1350,6.083,"<0.001","***",0.307,0.09,3.397,"0.001","**",0.154,0.209,0.738,"0.461"," ",0.095,0.313,0.304,"0.761"," "
"CBMA:Extremely Humid - SSWMA:Extremely Humid",-0.008,0.106,1350,-0.075,"0.94"," ",-0.102,0.11,-0.933,"0.351"," ",0.236,0.227,1.042,"0.298"," ",0.063,0.53,0.118,"0.906"," "
"KIOWA:Extremely Humid - SSWMA:Extremely Humid",0.152,0.088,1350,1.732,"0.084",".",-0.146,0.092,-1.589,"0.112"," ",-0.048,0.214,-0.226,"0.821"," ",0.498,0.342,1.458,"0.145"," "
"KIOWA:Extremely Humid - CBMA:Extremely Humid",0.16,0.111,1350,1.44,"0.15"," ",-0.044,0.116,-0.377,"0.706"," ",-0.285,0.275,-1.034,"0.302"," ",0.436,0.572,0.762,"0.446"," "
"SSWMA:Humid - LWMA:Humid",-0.076,0.244,1350,-0.31,"0.757"," ",0.087,0.254,0.342,"0.732"," ",0.362,0.106,3.415,"0.001","**",0.198,0.124,1.589,"0.112"," "
"CBMA:Humid - LWMA:Humid",0.007,0.203,1350,0.035,"0.972"," ",0.245,0.234,1.047,"0.295"," ",0.943,0.115,8.173,"<0.001","***",0.867,0.185,4.683,"<0.001","***"
"KIOWA:Humid - LWMA:Humid",0.287,0.23,1350,1.249,"0.212"," ",0.171,0.245,0.699,"0.485"," ",0.399,0.117,3.408,"0.001","**",0.284,0.166,1.715,"0.087","."
"CBMA:Humid - SSWMA:Humid",0.083,0.174,1350,0.475,"0.635"," ",0.158,0.145,1.095,"0.274"," ",0.582,0.118,4.917,"<0.001","***",0.669,0.189,3.543,"<0.001","***"
